source_model,case_id,condition,source_order,adjudicated_label,mean_correct
gpt-5.2-thinking-high,F9,natural_ask,1,B,0.0
gpt-5.2-thinking-high,F13,natural_ask,1,D/A,0.5
claude-opus-4.6,F9,natural_ask,1,B,0.0
claude-opus-4.6,F13,natural_ask,1,B,0.0
gemini-3-flash,F9,natural_ask,1,A,1.0
gemini-3-flash,F13,natural_ask,1,A,1.0
gemini-3.1-pro,F9,natural_ask,1,B,0.0
gemini-3.1-pro,F13,natural_ask,1,B,0.0
gpt-5.2-thinking-high,F9,user_only,1,B,0.0
gpt-5.2-thinking-high,F13,user_only,1,B,0.0
claude-opus-4.6,F9,user_only,1,B,0.0
claude-opus-4.6,F13,user_only,1,D/A,0.5
gemini-3-flash,F9,user_only,1,B,0.0
gemini-3-flash,F13,user_only,1,A,1.0
gemini-3.1-pro,F9,user_only,1,B,0.0
gemini-3.1-pro,F13,user_only,1,B,0.0
gpt-5.2-thinking-high,F9,natural_ask,2,B,0.0
gpt-5.2-thinking-high,F9,user_only,2,B,0.0
gpt-5.2-thinking-high,F13,natural_ask,2,B,0.0
gpt-5.2-thinking-high,F13,user_only,2,D/A,0.5
claude-sonnet-4.6,F9,natural_ask,2,B,0.0
claude-sonnet-4.6,F9,user_only,2,B,0.0
claude-sonnet-4.6,F13,natural_ask,2,A,1.0
claude-sonnet-4.6,F13,user_only,2,B,0.0
claude-opus-4.6,F9,natural_ask,2,B,0.0
claude-opus-4.6,F9,user_only,2,B,0.0
claude-opus-4.6,F13,natural_ask,2,B,0.0
claude-opus-4.6,F13,user_only,2,B,0.0
gemini-3-flash,F9,natural_ask,2,B,0.0
gemini-3-flash,F9,user_only,2,B,0.0
gemini-3-flash,F13,natural_ask,2,B,0.0
gemini-3-flash,F13,user_only,2,B,0.0
gemini-3.1-pro,F9,natural_ask,2,B,0.0
gemini-3.1-pro,F9,user_only,2,B,0.0
gemini-3.1-pro,F13,natural_ask,2,B,0.0
gemini-3.1-pro,F13,user_only,2,B,0.0
claude-sonnet-4.6,F9,natural_ask,3,B,0.0
claude-sonnet-4.6,F9,user_only,3,B,0.0
claude-sonnet-4.6,F13,natural_ask,3,A,1.0
claude-sonnet-4.6,F13,user_only,3,B,0.0
